capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1255 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2712.397767643 2606.084449809 2527.288828339 2537.140369961 2553.125585462 2472.231224231 2448.002118053 2499.447912346 2499.447912346 2321.981965248 2321.981965248 2562.807040383
1344 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2708.680070833 2550.842133400 2517.773964846 2523.646457888 2494.788790239 2430.508076158 2428.951752397 2421.940791735 2421.940791735 2299.872361617 2299.872361617 2530.884113404
1433 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2643.572337715 2550.082569127 2440.103001269 2520.280999042 2483.253330721 2418.589936976 2273.298867305 2413.273247396 2413.273247396 2330.676492864 2330.676492864 2540.806255242
1522 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2600.206240986 2518.213056159 2428.358333287 2462.095267372 2448.067770354 2412.024203047 2275.484506038 2405.232144793 2405.232144793 2362.362076789 2362.362076789 2520.821560678
1611 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2581.560403886 2491.464128637 2397.062700146 2455.036343096 2439.216598920 2405.870924509 2253.234534648 2454.299633193 2454.299633193 2325.119254642 2325.119254642 2505.829763814
1700 3003.812498029 2220.367390496 2220.367390496 783.445107533	2220.367402423 2561.646382024 2433.712028255 2336.561728180 2455.035885924 2373.287004349 2344.533896877 2253.597738495 2388.284038125 2388.284038125 2326.543787291 2326.543787291 2469.480209650
899 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2844.998814832 2771.163614949 2821.849640460 2768.565215602 2771.704565868 2727.191700880 2687.920890947 2843.926960196 2843.926960196 2660.440009175 2660.440009175 2781.850495573
988 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2804.118771595 2755.787498724 2744.673435007 2758.750245434 2752.928981867 2708.441509768 2646.070406768 2856.122615400 2856.122615400 2641.704025384 2641.704025384 2741.819732374
1077 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2769.631885850 2694.912361874 2688.236651095 2678.853989883 2681.330835301 2652.918740538 2617.759092381 2768.517709635 2768.517709635 2583.348428065 2583.348428065 2694.755803388
1166 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2763.613701277 2687.495051912 2649.916843638 2670.708153499 2664.371573965 2627.936030725 2579.574756891 2708.793372768 2708.793372768 2556.493806029 2556.493806029 2701.574335780
1255 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2745.090254720 2678.928700246 2637.697119621 2656.701564995 2650.748293555 2619.561446918 2559.242029112 2665.441961718 2665.441961718 2537.885286416 2537.885286416 2699.523929089
1344 2950.249614211 2438.646084294 2438.646084294 511.603529917	2438.646096718 2742.378699807 2658.877094104 2635.002311015 2653.141453520 2648.133325215 2605.000659915 2528.237273563 2665.791605371 2665.791605371 2563.490729143 2563.490729143 2687.235618044
